_date,total_clones,unique_clones
2022-03-03,1,1
2022-03-12,1,1
2022-03-16,11,10
2022-03-20,1,1
2022-03-21,2,2
2022-03-27,1,1
2022-03-28,2,2
2022-04-03,1,1
2022-04-04,1,1
2022-04-10,1,1
2022-04-11,2,2
2022-04-17,1,1
2022-04-24,1,1
2022-04-25,2,2
2022-05-01,1,1
2022-05-02,2,2
2022-05-04,2,1
2022-05-08,1,1
2022-05-09,2,2
2022-05-13,1,1
2022-05-15,1,1
2022-05-16,3,3
2022-05-22,1,1
2022-05-23,1,1
2022-05-29,1,1
2022-05-30,2,2
2022-06-05,1,1
2022-06-06,2,2
2022-06-12,1,1
2022-06-19,1,1
2022-06-20,1,1
2022-06-26,1,1
2022-06-27,3,3
2022-07-03,1,1
2022-07-04,3,3
2022-07-10,1,1
2022-07-11,3,3
2022-07-17,1,1
2022-07-18,1,1
2022-07-24,1,1
2022-07-25,1,1
2022-07-29,1,1
2022-07-30,1,1
2022-07-31,1,1
2022-08-01,2,2
2022-08-02,1,1
2022-08-07,1,1
2022-08-08,2,2
2022-08-14,1,1
2022-08-15,3,3
2022-08-21,1,1
2022-08-22,1,1
2022-08-28,1,1
2022-09-04,1,1
